DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-02-28,Global/Other,195,808,840,200,-3.692009002063223,-4.153324873182086,-1.6287179487179488,-19.3798449612403,11.3924050632911,4.010883016837356,2025-02-28
2025-02-28,Western,17,61,61,17,-2.871121684091148,-3.0063972609191536,-3.4705882352941178,-7.88177339901478,0.44709388971684,3.073643210131271,2025-02-28
2025-03-01,Chinese,6,31,31,6,-0.6076170199248884,-0.6607790224351943,-0.7000000000000001,-5.42168674698795,5.82959641255606,5.186451524277047,2025-03-01
2025-03-01,Global/Other,104,423,433,104,-3.505422996358143,-4.104239904549206,-0.6788461538461539,-18.918918918919,1.64609053497942,3.2850738816218716,2025-03-01
2025-03-01,Western,1,5,5,1,1.62866449511401,1.6286644951140097,0.0,1.62866449511401,1.62866449511401,,2025-03-01
2025-03-02,Chinese,8,17,17,8,0.9742937763479825,1.418139510287032,0.85,-1.54083204930663,2.54777070063695,1.8265286225879587,2025-03-02
2025-03-02,Global/Other,67,248,248,67,-1.7557313508836756,-1.633283000454934,-1.6776119402985075,-6.00343053173242,3.48837209302326,2.1986597031428436,2025-03-02
2025-03-02,Western,12,39,59,12,-1.3086780671950866,-0.8261136053246997,-0.36666666666666675,-6.38297872340426,0.76815642458101,2.7693619927520388,2025-03-02
2025-03-03,Chinese,4,7,7,4,-3.19379062740916,-3.773778090569954,0.7,-5.33980582524272,-2.23684210526316,1.4709136632958195,2025-03-03
2025-03-03,Global/Other,153,634,634,157,-2.416646222273146,-2.4680866439593596,-1.4601307189542485,-13.6054421768707,4.50254175744372,2.9427948489704305,2025-03-03
2025-03-03,Western,13,35,35,13,-2.2549450562757687,-2.4745292569951762,-1.5692307692307692,-4.04494382022471,-0.10341261633919,1.5931809475174108,2025-03-03
2025-03-04,Chinese,17,91,91,20,-2.61579830269993,-3.274357370960639,-0.1764705882352941,-9.92063492063491,1.90476190476191,3.2591473848637613,2025-03-04
