DateStr,Date,WesternTone,ChineseTone,GlobalTone,WesternArticles,ChineseArticles,GlobalArticles,ToneGap,AbsToneGap
2025-04-19,2025-04-19,-4.332839984751191,,-2.6841449593277997,45,,867,,
2025-04-20,2025-04-20,-1.5249293613525523,-4.091571693612512,-2.3294475803345556,17,7,579,2.56664233225996,2.56664233225996
2025-04-21,2025-04-21,-2.511109930033743,-4.786218428352415,-2.6813649357088214,87,28,1444,2.2751084983186716,2.2751084983186716
2025-04-22,2025-04-22,-2.582480360586971,-4.435134172747389,-2.622644712207754,27,81,1476,1.8526538121604186,1.8526538121604186
2025-04-23,2025-04-23,-3.1786194254434244,-5.895214053977312,-2.647823341054301,45,30,1758,2.7165946285338873,2.7165946285338873
2025-04-24,2025-04-24,-3.837925985262604,-3.461034905390805,-2.269392816951009,81,33,1412,-0.37689107987179904,0.37689107987179904
2025-04-25,2025-04-25,-2.1232903443155218,-1.9184654487474408,-2.257111221223294,114,26,1324,-0.20482489556808092,0.20482489556808092
2025-04-26,2025-04-26,-3.3968545814850057,-0.00802097057157003,-1.5771533587669684,7,4,545,-3.388833610913436,3.388833610913436
2025-04-27,2025-04-27,-1.697000059116264,-0.279720870146402,-1.918503844108269,23,30,658,-1.417279188969862,1.417279188969862
2025-04-28,2025-04-28,-4.0474518719902335,-2.2876652582799517,-1.9138520964143269,28,20,890,-1.7597866137102818,1.7597866137102818
2025-04-29,2025-04-29,-0.30568617109543084,-1.448576206938178,-2.4097315443223284,23,57,1072,1.1428900358427472,1.1428900358427472
2025-04-30,2025-04-30,-3.531559365538288,-0.11971309951679641,-2.5334489066456993,91,45,1345,-3.4118462660214917,3.4118462660214917
